,Country_code,Country,Year,Currency,Annual_income,Rate,Income_USD,alpha2,eu_region,avg_price,price_index
0,AUS,Australia,2019,AUD,83602.47835,1.4392727194113721,58086.61362260198,AU,,43.14666666666667,0.05160931531961775
18,CAN,Canada,2019,CAD,69174.86105,1.3269366249976466,52131.24707453357,CA,,41.82666666666666,0.06046512567106437
29,USA,United States,2019,USD,65835.57764,1.0,65835.57764,US,,33.32333333333333,0.050615995982523185
1,AUT,Austria,2019,EUR,44688.832839999995,0.8934086357862746,50020.59645491346,AT,EU1,32.99,0.07382157443698412
2,BEL,Belgium,2019,EUR,47244.38417,0.8934086357862746,52881.04712399715,BE,EU1,32.99,0.06982840517360056
3,FIN,Finland,2019,EUR,42617.54087,0.8934086357862746,47702.18146872174,FI,EU1,32.99,0.07740944063532965
4,FRA,France,2019,EUR,39099.261269999995,0.8934086357862746,43764.14073453562,FR,EU1,32.99,0.08437499566088351
5,DEU,Germany,2019,EUR,42421.27908,0.8934086357862746,47482.503952590196,DE,EU1,32.99,0.07776757494224995
6,GRC,Greece,2019,EUR,17589.464819999997,0.8934086357862746,19688.039845864925,GR,EU2,31.99,0.18187022929558355
7,IRL,Ireland,2019,EUR,49605.02001,0.8934086357862746,55523.32720216367,IE,EU1,32.99,0.06650536577416856
8,ITA,Italy,2019,EUR,30028.26367,0.8934086357862746,33610.8947990777,IT,EU2,31.99,0.10653296624659617
9,LUX,Luxembourg,2019,EUR,65843.19969,0.8934086357862746,73698.86192341587,LU,EU1,32.99,0.050103883400749116
10,NLD,Netherlands,2019,EUR,48358.71183,0.8934086357862746,54128.323695282255,NL,EU1,32.99,0.0682193523185086
11,PRT,Portugal,2019,EUR,17561.95351,0.8934086357862746,19657.24619904083,PT,EU2,31.99,0.18215513428949967
12,SVK,Slovak Republic,2019,EUR,15017.417159999999,0.8934086357862746,16809.124692177855,SK,EU2,31.99,0.21301932056071354
13,ESP,Spain,2019,EUR,27467.761130000003,0.8934086357862746,30744.90219789074,ES,EU2,31.99,0.11646380587262664
14,SVN,Slovenia,2019,EUR,25961.443580000003,0.8934086357862746,29058.8679581676,SI,EU2,31.99,0.12322119107677139
15,EST,Estonia,2019,EUR,18611.22022,0.8934086357862746,20831.69948723471,EE,EU2,31.99,0.17188555947354214
16,LVA,Latvia,2019,EUR,16118.50164,0.8934086357862746,18041.57805774327,LV,EU2,31.99,0.19846757914900084
17,LTU,Lithuania,2019,EUR,14547.18915,0.8934086357862746,16282.794420491864,LT,EU2,31.99,0.21990502543235302
19,CZE,Czech Republic,2019,CZK,408211.2524,22.9344766236098,17799.0219310158,CZ,EU2,31.99,0.007836628660263752
20,DNK,Denmark,2019,DKK,446396.6813,6.6702570543102,66923.46002041204,DK,EU1,32.99,0.007390287916999352
21,HUN,Hungary,2019,HUF,3990645.027,290.6782551666583,13728.736003014716,HU,EU2,31.99,0.0008016247945773504
24,NOR,Norway,2019,NOK,579819.8034,8.80230775727412,65871.33958374086,NO,EU2,31.99,0.005517231355744342
25,POL,Poland,2019,PLN,60056.975510000004,3.8396696851219603,15641.182819113359,PL,EU2,31.99,0.053266085626761855
26,SWE,Sweden,2019,SEK,438350.1687,9.461525584443917,46329.75568133637,SE,EU1,32.99,0.007525946687288227
27,CHE,Switzerland,2019,CHF,88792.15804,0.9937189426043138,89353.39182253658,CH,EU1,32.99,0.03715418200010223
